"","Afghanistan","Angola","Albanie","Andorre","Le monde arabe","Émirats arabes unis","Argentine","Arménie","Samoa américaines","Date"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1960-01-01
"NA.1",NA,NA,NA,NA,NA,NA,5.42784287951248,NA,NA,1961-01-01
"NA.2",NA,NA,NA,NA,NA,NA,-0.852021523481966,NA,NA,1962-01-01
"NA.3",NA,NA,NA,NA,NA,NA,-5.30819682651727,NA,NA,1963-01-01
"NA.4",NA,NA,NA,NA,NA,NA,10.1302976614338,NA,NA,1964-01-01
"NA.5",NA,NA,NA,NA,NA,NA,10.5694333403429,NA,NA,1965-01-01
"NA.6",NA,NA,NA,NA,NA,NA,-0.659726171593704,NA,NA,1966-01-01
"NA.7",NA,NA,NA,NA,NA,NA,3.1919966233703,NA,NA,1967-01-01
"NA.8",NA,NA,NA,NA,NA,NA,4.82250078158646,NA,NA,1968-01-01
"NA.9",NA,NA,NA,NA,NA,NA,9.67952600806899,NA,NA,1969-01-01
"NA.10",NA,NA,NA,NA,NA,NA,3.04564331900328,NA,NA,1970-01-01
"NA.11",NA,NA,NA,4.64946536081882,NA,NA,5.65813108318036,NA,NA,1971-01-01
"NA.12",NA,NA,NA,8.14974348860618,NA,NA,1.62841651625511,NA,NA,1972-01-01
"NA.13",NA,NA,NA,7.78846720294044,NA,NA,2.81175404095775,NA,NA,1973-01-01
"NA.14",NA,NA,NA,5.61878972962946,NA,NA,5.53380439483222,NA,NA,1974-01-01
"NA.15",NA,NA,NA,0.542205658763677,NA,NA,-0.0284121027670921,NA,NA,1975-01-01
"NA.16",NA,NA,NA,3.30378704950753,15.9031516079944,16.526856487528,-2.01825151667566,NA,NA,1976-01-01
"NA.17",NA,NA,NA,2.83857556610091,8.50550096656832,21.4393301622724,6.93414775537975,NA,NA,1977-01-01
"NA.18",NA,NA,NA,1.46300017893421,-0.798476186922215,-1.58960330014759,-4.50612480247693,NA,NA,1978-01-01
"NA.19",NA,NA,NA,0.0415571951292577,11.605057353708,20.9235730764523,10.2227634648727,NA,NA,1979-01-01
"NA.20",NA,NA,NA,2.20872760693054,9.14506751862962,23.8747748930489,4.15176234244557,NA,NA,1980-01-01
"NA.21",NA,NA,5.74563529200682,-0.132474511474584,2.68708383254845,4.65917666989016,-5.68952800019454,NA,NA,1981-01-01
"NA.22",NA,NA,2.94859680156875,1.24646111342553,-8.9925725353927,-6.71931618775936,-4.95717851904021,NA,NA,1982-01-01
"NA.23",NA,NA,1.10493826182693,1.7701183169325,-6.57356899578258,-4.74582069446205,3.87512342400915,NA,NA,1983-01-01
"NA.24",NA,NA,-1.2515966446984,1.78468669356819,1.06640451994264,4.01695128594224,2.21177350377243,NA,NA,1984-01-01
"NA.25",NA,NA,1.7806439597726,2.32143303219918,-2.16460950525548,-3.59447652685392,-7.58667718413531,NA,NA,1985-01-01
"NA.26",NA,2.80000000794205,5.63724317825194,3.2533217783064,4.46288865462701,-14.9581365517104,7.87577983041486,NA,NA,1986-01-01
"NA.27",NA,7.9000000036751,-0.787842655012994,5.54712217053806,-0.626386706730514,3.38198171435913,2.90999313057101,NA,NA,1987-01-01
"NA.28",NA,5.59999998070748,-1.42003965482256,5.0943262032322,5.58877530570663,-2.6189077195029,-2.55690487694625,NA,NA,1988-01-01
"NA.29",NA,0.400000018928708,9.83654897047627,4.82703424406914,2.12100068254981,12.3378912971254,-7.49618958372476,NA,NA,1989-01-01
"NA.30",NA,-0.300000018689062,-9.57564016948626,3.78138758962916,13.1413550327939,18.3279855121012,-2.39895921890088,NA,NA,1990-01-01
"NA.31",NA,-1.19999998948087,-29.5889977012912,2.54600287187641,1.52961578176148,0.860081944630522,12.6697100915969,-11.6999984817524,NA,1991-01-01
"NA.32",NA,-6.90000000175168,-7.19999998616426,0.929211956288896,4.79539500272912,3.3449448725231,11.9407747322281,-41.8000027485614,NA,1992-01-01
"NA.33",NA,-24.6999999862023,9.6000000454053,-1.0314840109579,3.20093873984074,1.26119095220467,5.90691949180228,-8.79999879239085,NA,1993-01-01
"NA.34",NA,3.49999998931119,8.29999997982694,2.38318769098804,3.209841598949,6.89614854507172,5.83620070368526,5.40000279013701,NA,1994-01-01
"NA.35",NA,10.4000000186697,13.2999999923636,2.75749918732973,2.75526786062146,6.68788647127106,-2.84520961057081,6.89999840719999,NA,1995-01-01
"NA.36",NA,11.1999999665668,9.10000000771629,4.6497401487506,4.47868915826773,5.79840405138745,5.52668982715234,5.86540074820616,NA,1996-01-01
"NA.37",NA,7.90000000976703,-10.8378557356567,9.06767219910513,4.18729746437975,8.19039865220303,8.1110467707457,3.32107969582276,NA,1997-01-01
"NA.38",NA,6.8047621164026,9.00885253995469,3.19479029605851,5.10019841958615,0.291994343877903,3.85017885156229,7.3,NA,1998-01-01
"NA.39",NA,3.2397996705996,13.5011733754336,4.09908083663409,1.80769841826131,2.90221364978885,-3.3854570406327,3.30000000000001,NA,1999-01-01
"NA.40",NA,3.01207617104586,6.66662049881369,1.16578707933228,5.37168948140877,10.8527042037787,-0.78899893905691,5.89999999999978,NA,2000-01-01
"NA.41",NA,4.22096514726005,7.94033142454762,6.06678059681872,1.61383675424491,1.39908502781833,-4.40883968258557,9.55664149553445,NA,2001-01-01
"NA.42",NA,-6.94046155293242,4.23137101758226,6.42684513850158,0.584405513808534,2.43345681395475,-10.8944848285903,13.186300532067,NA,2002-01-01
"NA.43",8.44416322679218,5.24749454056162,5.77349056080081,12.0239197396079,5.31926675818606,8.80054081702863,8.83704079576924,14.0407950559649,0.814111261872455,2003-01-01
"NA.44",1.05555578746555,10.8795774758584,5.70955659620999,8.06950429074125,9.33566011358305,9.56643664256451,9.02957330068155,10.4678418639969,0.538358008075377,2004-01-01
"NA.45",11.1752702416587,18.2614503245644,5.72081994678555,7.83970449604648,5.71629757147758,4.8551411953047,8.85165992013435,13.8657112498155,-0.401606425702823,2005-01-01
"NA.46",5.55413762257501,20.7351248827892,5.43101273852915,4.58531059335641,6.49544235286686,9.83731977265896,8.04715150043027,13.1980035154758,-4.16666666666666,2006-01-01
"NA.47",13.7402049898513,22.5930542991417,5.89999999980755,0.078039377902499,4.57174871901114,3.18439017418363,9.00765087504757,13.7492019586216,1.96353436185133,2007-01-01
"NA.48",3.61136839226168,13.8171458087553,7.52999998948079,-8.59425600818136,5.81595309929904,3.19183627059647,4.05723310346406,6.90000000168239,-2.61348005502063,2008-01-01
"NA.49",21.0206487363678,2.41286969254453,3.35000000887302,-3.81798602402674,0.431831413093221,-5.24292190590671,-5.91852507634947,-14.149988640087,-4.23728813559322,2009-01-01
"NA.50",8.43329048161792,3.40765479391563,3.70999999380066,-5.34797718118854,4.77378908129691,1.63544905517215,10.1253981561002,2.1999999991457,0.442477876106182,2010-01-01
"NA.51",6.11368516942299,3.91859698579799,2.55000000544001,-4.80267503725287,3.57043337524128,6.35892020190771,6.00395169280579,4.69999999861844,0.293685756240819,2011-01-01
"NA.52",14.4347412879524,5.15544054479086,1.41999999814648,-1.76001032768896,5.16139739851323,5.10467942682324,-1.02642045443208,7.20000000328227,-4.39238653001463,2012-01-01
"NA.53",1.95912289275337,6.81358576983935,1.10999999256572,-0.0635143126218196,3.64693465504243,5.7899060746133,2.40532378079436,3.30000000179984,-3.21592649310874,2013-01-01
"NA.54",1.31253090764642,4.80447270408375,1.79999999809164,NA,2.91134620190722,3.28492613384444,-2.51261532081396,3.6000000009613,1.4240506329114,2014-01-01
"NA.55",1.11255751924601,3.00698054504154,2.59000000518199,NA,3.48480816575321,3.82886705037397,2.64727141477579,2.99999999685869,1.09204368174727,2015-01-01
"NA.56",2.23227177311031,0,3.4599999943693,NA,3.22552960352938,3.03645979934825,-2.29817599109387,0.19999999823581,NA,2016-01-01
